Anio|Revista|Citas|JCR|Diff
2021|Decision Support Systems|15272|18.536|11.567
2022|Decision Support Systems|15272|12.827|5.858
2004|Journal of Automated Reasoning|364|14.267|13.678
2005|Journal of Automated Reasoning|359|13.767|12.892
2006|Journal of Automated Reasoning|377|12.512|11.904
2007|Journal of Automated Reasoning|414|11.61|10.777
2008|Journal of Automated Reasoning|470|25.288|23.597
2009|Journal of Automated Reasoning|522|34.718|32.792
2010|Journal of Automated Reasoning|579|36.964|34.684
2011|Journal of Automated Reasoning|274|23.689|22.975
2012|Journal of Automated Reasoning|341|13.879|13.312
2013|Journal of Automated Reasoning|322|13.925|13.457
2014|Journal of Automated Reasoning|469|14.743|13.862
2015|Journal of Automated Reasoning|700|20.746|18.633
2016|Journal of Automated Reasoning|635|20.362|18.726
2017|Journal of Automated Reasoning|585|10.759|9.438
2018|Journal of Automated Reasoning|584|12.032|10.86
2019|Journal of Automated Reasoning|625|13.696|12.265
2020|Journal of Automated Reasoning|0.775|7.784|6.84
2021|Journal of Automated Reasoning|935|4.61|3.46
2022|Journal of Automated Reasoning|935|2.868|1.718
2004|Data &amp; Knowledge Engineering|544|18.203|17.232
2005|Data &amp; Knowledge Engineering|522|19.605|18.52
2006|Data &amp; Knowledge Engineering|657|24.055|22.688
2007|Data &amp; Knowledge Engineering|702|25.922|24.778
2008|Data &amp; Knowledge Engineering|1220|27.323|25.843
2009|Data &amp; Knowledge Engineering|1398|30.384|28.639
2010|Data &amp; Knowledge Engineering|1312|30.748|29.026
2011|Data &amp; Knowledge Engineering|1112|25.261|23.839
2012|Data &amp; Knowledge Engineering|1279|19.297|17.778
2013|Data &amp; Knowledge Engineering|1226|18.695|17.206
2014|Data &amp; Knowledge Engineering|1276|17.624|16.509
2015|Data &amp; Knowledge Engineering|1369|14.975|13.475
2016|Data &amp; Knowledge Engineering|1741|11.391|9.697
2017|Data &amp; Knowledge Engineering|1520|10.318|8.851
2018|Data &amp; Knowledge Engineering|1606|11.922|10.339
2019|Data &amp; Knowledge Engineering|1602|11.043|9.567
2020|Data &amp; Knowledge Engineering|1.907|8.1|6.108
2021|Data &amp; Knowledge Engineering|1713|5.162|3.662
2022|Data &amp; Knowledge Engineering|1713|4.439|2.939
2004|Chemometrics and Intelligent Laboratory Systems|2282|32.351|30.452
2005|Chemometrics and Intelligent Laboratory Systems|2532|27.978|26.208
2006|Chemometrics and Intelligent Laboratory Systems|3051|40.532|38.082
2007|Chemometrics and Intelligent Laboratory Systems|3434|44.457|42.394
2008|Chemometrics and Intelligent Laboratory Systems|3625|28.189|26.249
2009|Chemometrics and Intelligent Laboratory Systems|3988|26.831|24.72
2010|Chemometrics and Intelligent Laboratory Systems|3971|28.734|26.512
2011|Chemometrics and Intelligent Laboratory Systems|4494|27.45|25.53
2012|Chemometrics and Intelligent Laboratory Systems|4880|30.091|27.8
2013|Chemometrics and Intelligent Laboratory Systems|5322|30.861|28.48
2014|Chemometrics and Intelligent Laboratory Systems|6189|27.312|24.991
2015|Chemometrics and Intelligent Laboratory Systems|6431|21.506|19.289
2016|Chemometrics and Intelligent Laboratory Systems|6962|23.112|20.809
2017|Chemometrics and Intelligent Laboratory Systems|7563|23.078|20.377
2018|Chemometrics and Intelligent Laboratory Systems|9266|17.884|15.098
2019|Chemometrics and Intelligent Laboratory Systems|9421|16.326|13.431
2020|Chemometrics and Intelligent Laboratory Systems|3.148|14.139|10.648
2021|Chemometrics and Intelligent Laboratory Systems|12344|10.832|6.657
2022|Chemometrics and Intelligent Laboratory Systems|12344|7.667|3.492
2004|International Journal of Pattern Recognition and Artificial Intelligence|458|14.028|13.44
2005|International Journal of Pattern Recognition and Artificial Intelligence|520|18.459|17.821
2006|International Journal of Pattern Recognition and Artificial Intelligence|494|20.077|19.569
2007|International Journal of Pattern Recognition and Artificial Intelligence|533|11.182|10.808
2008|International Journal of Pattern Recognition and Artificial Intelligence|760|8.474|7.814
2009|International Journal of Pattern Recognition and Artificial Intelligence|831|9.86|9.348
2010|International Journal of Pattern Recognition and Artificial Intelligence|698|16.345|15.66
2011|International Journal of Pattern Recognition and Artificial Intelligence|644|15.486|14.862
2012|International Journal of Pattern Recognition and Artificial Intelligence|735|10.188|9.626
2013|International Journal of Pattern Recognition and Artificial Intelligence|773|10.307|9.749
2014|International Journal of Pattern Recognition and Artificial Intelligence|828|7.587|6.918
2015|International Journal of Pattern Recognition and Artificial Intelligence|952|8.0|7.085
2016|International Journal of Pattern Recognition and Artificial Intelligence|1165|9.037|8.043
2017|International Journal of Pattern Recognition and Artificial Intelligence|1202|8.406|7.377
2018|International Journal of Pattern Recognition and Artificial Intelligence|1429|6.655|5.545
2019|International Journal of Pattern Recognition and Artificial Intelligence|1785|6.768|5.393
2020|International Journal of Pattern Recognition and Artificial Intelligence|1.151|5.753|4.38
2021|International Journal of Pattern Recognition and Artificial Intelligence|2331|4.379|3.118
2022|International Journal of Pattern Recognition and Artificial Intelligence|2331|2.843|1.582
2004|International Journal of Software Engineering and Knowledge Engineering|160|8.318|7.968
2005|International Journal of Software Engineering and Knowledge Engineering|138|7.954|7.446
2006|International Journal of Software Engineering and Knowledge Engineering|157|5.306|4.893
2007|International Journal of Software Engineering and Knowledge Engineering|158|6.45|6.211
2008|International Journal of Software Engineering and Knowledge Engineering|235|9.713|9.266
2009|International Journal of Software Engineering and Knowledge Engineering|258|7.239|6.912
2010|International Journal of Software Engineering and Knowledge Engineering|185|5.656|5.408
2011|International Journal of Software Engineering and Knowledge Engineering|135|5.951|5.822
2012|International Journal of Software Engineering and Knowledge Engineering|175|5.838|5.543
2013|International Journal of Software Engineering and Knowledge Engineering|171|6.948|6.684
2014|International Journal of Software Engineering and Knowledge Engineering|202|6.527|6.165
2015|International Journal of Software Engineering and Knowledge Engineering|216|4.752|4.512
2016|International Journal of Software Engineering and Knowledge Engineering|345|3.065|2.766
2017|International Journal of Software Engineering and Knowledge Engineering|360|4.038|3.641
2018|International Journal of Software Engineering and Knowledge Engineering|425|5.511|4.867
2019|International Journal of Software Engineering and Knowledge Engineering|535|4.705|3.819
2020|International Journal of Software Engineering and Knowledge Engineering|1.362|5.149|3.679
2021|International Journal of Software Engineering and Knowledge Engineering|640|4.15|3.143
2022|International Journal of Software Engineering and Knowledge Engineering|640|1.651|0.644
2004|International Journal on Artificial Intelligence Tools|298|0|0.573
2005|International Journal on Artificial Intelligence Tools|270|0|0.43
2006|International Journal on Artificial Intelligence Tools|357|0|0.406
2007|International Journal on Artificial Intelligence Tools|418|0|0.376
2008|International Journal on Artificial Intelligence Tools|750|0|1.0
2009|International Journal on Artificial Intelligence Tools|990|0|1.147
2010|International Journal on Artificial Intelligence Tools|718|0|0.85
2011|International Journal on Artificial Intelligence Tools|827|0|1.781
2012|International Journal on Artificial Intelligence Tools|906|0|0.886
2013|International Journal on Artificial Intelligence Tools|1042|0|0.619
2014|International Journal on Artificial Intelligence Tools|1141|0|0.954
2015|International Journal on Artificial Intelligence Tools|1169|0|1.0
2016|International Journal on Artificial Intelligence Tools|1506|0|1.214
2017|International Journal on Artificial Intelligence Tools|1509|0|1.159
2018|International Journal on Artificial Intelligence Tools|1882|0|1.286
2019|International Journal on Artificial Intelligence Tools|1774|0|1.375
2020|International Journal on Artificial Intelligence Tools|1.491|0|1.518
2021|International Journal on Artificial Intelligence Tools|2001|0|1.027
2022|International Journal on Artificial Intelligence Tools|2001|0|1.027
2004|Image and Vision Computing|1460|63.286|62.127
2005|Image and Vision Computing|1509|71.647|70.264
2006|Image and Vision Computing|1770|47.055|45.884
2007|Image and Vision Computing|1981|41.073|40.046
2008|Image and Vision Computing|3067|34.799|33.303
2009|Image and Vision Computing|2926|29.06|27.586
2010|Image and Vision Computing|3236|39.151|37.573
2011|Image and Vision Computing|3203|52.078|50.355
2012|Image and Vision Computing|3572|48.578|46.619
2013|Image and Vision Computing|3760|32.777|31.196
2014|Image and Vision Computing|4051|27.832|26.245
2015|Image and Vision Computing|4285|29.314|27.548
2016|Image and Vision Computing|5540|25.91|23.239
2017|Image and Vision Computing|5280|17.176|15.017
2018|Image and Vision Computing|5870|21.632|18.885
2019|Image and Vision Computing|5275|21.522|18.419
2020|Image and Vision Computing|2.703|14.715|11.897
2021|Image and Vision Computing|6254|11.903|8.043
2022|Image and Vision Computing|6254|8.471|4.611
2004|Expert Systems|77|15.208|15.104
2005|Expert Systems|121|18.536|17.884
2006|Expert Systems|152|10.305|10.186
2007|Expert Systems|144|8.113|7.7
2008|Expert Systems|261|11.065|10.348
2009|Expert Systems|332|13.593|12.362
2010|Expert Systems|241|9.973|9.24
2011|Expert Systems|279|9.432|8.748
2012|Expert Systems|337|6.946|6.177
2013|Expert Systems|278|5.682|4.932
2014|Expert Systems|351|7.319|6.558
2015|Expert Systems|378|8.75|7.803
2016|Expert Systems|469|11.462|10.282
2017|Expert Systems|568|13.344|11.914
2018|Expert Systems|677|10.653|9.148
2019|Expert Systems|785|8.428|6.882
2020|Expert Systems|2.291|9.105|6.518
2021|Expert Systems|1833|7.432|4.62
2022|Expert Systems|1833|4.957|2.145
2004|Artificial Intelligence Review|246|27.203|26.641
2005|Artificial Intelligence Review|300|44.012|43.144
2006|Artificial Intelligence Review|297|49.791|49.097
2007|Artificial Intelligence Review|397|32.759|32.125
2008|Artificial Intelligence Review|482|16.951|16.832
2009|Artificial Intelligence Review|592|14.014|13.957
2010|Artificial Intelligence Review|462|31.371|30.942
2011|Artificial Intelligence Review|436|89.128|87.915
2012|Artificial Intelligence Review|605|75.925|74.36
2013|Artificial Intelligence Review|633|34.889|33.994
2014|Artificial Intelligence Review|996|30.962|28.851
2015|Artificial Intelligence Review|1135|37.237|35.506
2016|Artificial Intelligence Review|1524|52.468|49.841
2017|Artificial Intelligence Review|1896|55.25|51.436
2018|Artificial Intelligence Review|2627|39.056|33.961
2019|Artificial Intelligence Review|3229|39.403|33.656
2020|Artificial Intelligence Review|7.563|42.472|34.333
2021|Artificial Intelligence Review|7204|39.496|29.908
2022|Artificial Intelligence Review|7204|29.098|19.51
2004|The Knowledge Engineering Review|414|55.042|53.805
2005|The Knowledge Engineering Review|410|103.2|101.021
2006|The Knowledge Engineering Review|440|57.667|56.737
2007|The Knowledge Engineering Review|496|43.396|42.084
2008|The Knowledge Engineering Review|701|33.054|31.466
2009|The Knowledge Engineering Review|954|23.595|22.452
2010|The Knowledge Engineering Review|635|12.097|10.84
2011|The Knowledge Engineering Review|506|11.554|11.009
2012|The Knowledge Engineering Review|546|21.569|20.979
2013|The Knowledge Engineering Review|565|21.738|20.781
2014|The Knowledge Engineering Review|579|17.468|16.702
2015|The Knowledge Engineering Review|691|21.793|20.754
2016|The Knowledge Engineering Review|877|24.185|22.675
2017|The Knowledge Engineering Review|864|12.164|11.094
2018|The Knowledge Engineering Review|891|7.88|7.066
2019|The Knowledge Engineering Review|851|8.022|6.765
2020|The Knowledge Engineering Review|1.038|8.528|7.413
2021|The Knowledge Engineering Review|1145|6.397|4.381
2022|The Knowledge Engineering Review|1145|4.292|2.276
2004|AI Magazine|636|0|1.291
2005|AI Magazine|586|0|1.521
2006|AI Magazine|642|0|1.0
2007|AI Magazine|701|0|1.304
2008|AI Magazine|814|0|0.691
2009|AI Magazine|1180|0|1.018
2010|AI Magazine|712|0|0.525
2011|AI Magazine|601|0|0.808
2012|AI Magazine|691|0|0.726
2013|AI Magazine|703|0|0.5
2014|AI Magazine|713|0|0.595
2015|AI Magazine|893|0|0.628
2016|AI Magazine|1231|0|0.812
2017|AI Magazine|1293|0|1.032
2018|AI Magazine|1419|15.73|14.414
2019|AI Magazine|1653|14.544|12.917
2020|AI Magazine|1.094|7.104|6.01
2021|AI Magazine|2474|6.676|4.152
2022|AI Magazine|2474|2.07|0.454
2004|Computational Intelligence|560|15.96|14.037
2005|Computational Intelligence|520|27.542|27.01
2006|Computational Intelligence|564|27.945|26.53
2007|Computational Intelligence|607|28.073|26.101
2008|Computational Intelligence|815|23.568|20.258
2009|Computational Intelligence|1223|9.061|3.683
2010|Computational Intelligence|408|13.214|12.51
2011|Computational Intelligence|338|9.368|8.397
2012|Computational Intelligence|388|9.917|8.917
2013|Computational Intelligence|411|11.82|10.95
2014|Computational Intelligence|475|29.446|28.773
2015|Computational Intelligence|491|28.117|27.395
2016|Computational Intelligence|628|17.097|16.133
2017|Computational Intelligence|624|14.892|13.54
2018|Computational Intelligence|709|5.573|4.797
2019|Computational Intelligence|756|7.009|5.813
2020|Computational Intelligence|1.979|8.504|6.174
2021|Computational Intelligence|1419|7.273|5.131
2022|Computational Intelligence|1419|5.498|3.356
2004|Applied Artificial Intelligence|325|25.561|25.005
2005|Applied Artificial Intelligence|332|24.421|23.792
2006|Applied Artificial Intelligence|327|18.616|18.04
2007|Applied Artificial Intelligence|405|18.973|18.22
2008|Applied Artificial Intelligence|484|14.253|13.458
2009|Applied Artificial Intelligence|621|12.602|12.022
2010|Applied Artificial Intelligence|429|11.276|10.713
2011|Applied Artificial Intelligence|355|11.209|10.876
2012|Applied Artificial Intelligence|422|10.905|10.43
2013|Applied Artificial Intelligence|435|7.912|7.51
2014|Applied Artificial Intelligence|506|8.505|7.978
2015|Applied Artificial Intelligence|496|10.279|9.739
2016|Applied Artificial Intelligence|588|8.253|7.601
2017|Applied Artificial Intelligence|618|8.441|7.854
2018|Applied Artificial Intelligence|698|13.278|12.29
2019|Applied Artificial Intelligence|807|11.258|10.086
2020|Applied Artificial Intelligence|1.471|9.042|7.462
2021|Applied Artificial Intelligence|1399|8.983|6.206
2022|Applied Artificial Intelligence|1399|5.096|2.319
2004|International Journal of Intelligent Systems|475|30.547|29.944
2005|International Journal of Intelligent Systems|516|23.494|22.837
2006|International Journal of Intelligent Systems|628|17.986|17.557
2007|International Journal of Intelligent Systems|739|20.986|20.319
2008|International Journal of Intelligent Systems|1039|16.25|15.39
2009|International Journal of Intelligent Systems|1309|16.073|14.879
2010|International Journal of Intelligent Systems|1087|22.349|21.018
2011|International Journal of Intelligent Systems|1186|28.121|26.468
2012|International Journal of Intelligent Systems|1320|24.716|23.3
2013|International Journal of Intelligent Systems|1440|20.14|18.729
2014|International Journal of Intelligent Systems|1830|17.471|15.585
2015|International Journal of Intelligent Systems|1890|22.34|20.29
2016|International Journal of Intelligent Systems|2391|27.021|24.092
2017|International Journal of Intelligent Systems|2554|25.918|22.555
2018|International Journal of Intelligent Systems|4310|25.743|18.514
2019|International Journal of Intelligent Systems|5796|32.562|22.251
2020|International Journal of Intelligent Systems|7.76|31.567|22.858
2021|International Journal of Intelligent Systems|7799|23.33|14.337
2022|International Journal of Intelligent Systems|7799|13.607|4.614
2004|Computer Speech &amp; Language|275|31.92|31.408
2005|Computer Speech &amp; Language|335|14.882|14.395
2006|Computer Speech &amp; Language|383|16.792|16.103
2007|Computer Speech &amp; Language|441|30.712|29.618
2008|Computer Speech &amp; Language|461|37.309|35.896
2010|Computer Speech &amp; Language|626|19.148|17.795
2011|Computer Speech &amp; Language|605|30.014|28.695
2012|Computer Speech &amp; Language|682|30.894|29.431
2013|Computer Speech &amp; Language|870|22.508|20.696
2014|Computer Speech &amp; Language|954|17.535|15.782
2015|Computer Speech &amp; Language|799|20.137|18.813
2016|Computer Speech &amp; Language|1266|19.474|17.574
2017|Computer Speech &amp; Language|1211|13.407|11.631
2018|Computer Speech &amp; Language|1437|12.704|10.847
2019|Computer Speech &amp; Language|1402|12.623|10.507
2020|Computer Speech &amp; Language|1.827|9.291|7.392
2021|Computer Speech &amp; Language|2014|9.486|6.234
2022|Computer Speech &amp; Language|2014|7.552|4.3
2004|Machine Learning|3610|236.311|233.053
2005|Machine Learning|3568|186.802|183.694
2006|Machine Learning|4483|119.371|116.717
2007|Machine Learning|4941|111.969|110.227
2008|Machine Learning|6211|93.534|91.208
2009|Machine Learning|7305|50.98|49.317
2010|Machine Learning|6310|64.03|62.063
2011|Machine Learning|5734|66.321|64.734
2012|Machine Learning|7004|61.409|59.942
2013|Machine Learning|7363|49.074|47.385
2014|Machine Learning|8649|34.658|32.769
2015|Machine Learning|9656|32.187|30.468
2016|Machine Learning|12944|27.149|25.301
2017|Machine Learning|13453|21.021|19.166
2018|Machine Learning|17358|20.914|18.105
2019|Machine Learning|18677|19.698|17.026
2020|Machine Learning|2.805|14.706|11.766
2021|Machine Learning|30019|14.753|9.339
2022|Machine Learning|30019|11.913|6.499
2004|International Journal of Approximate Reasoning|564|21.264|20.335
2005|International Journal of Approximate Reasoning|492|22.017|21.058
2006|International Journal of Approximate Reasoning|632|27.812|26.55
2007|International Journal of Approximate Reasoning|733|25.448|24.228
2008|International Journal of Approximate Reasoning|1249|27.739|26.031
2009|International Journal of Approximate Reasoning|1686|34.734|32.644
2010|International Journal of Approximate Reasoning|1384|34.313|32.629
2011|International Journal of Approximate Reasoning|1638|27.375|25.427
2012|International Journal of Approximate Reasoning|1920|30.123|28.394
2013|International Journal of Approximate Reasoning|1912|30.43|28.453
2014|International Journal of Approximate Reasoning|2735|22.197|19.746
2015|International Journal of Approximate Reasoning|2796|22.105|19.409
2016|International Journal of Approximate Reasoning|3341|18.633|15.788
2017|International Journal of Approximate Reasoning|3384|12.421|10.655
2018|International Journal of Approximate Reasoning|3587|12.843|10.861
2019|International Journal of Approximate Reasoning|4190|13.735|11.057
2020|International Journal of Approximate Reasoning|2.861|14.465|10.649
2021|International Journal of Approximate Reasoning|5461|11.938|7.486
2022|International Journal of Approximate Reasoning|5461|7.179|2.727
2004|AI EDAM|155|0|0.156
2005|AI EDAM|143|0|0.128
2006|AI EDAM|183|56.5|56.095
2007|AI EDAM|179|56.5|56.221
2008|AI EDAM|274|0|0.477
2009|AI EDAM|357|0|0.636
2010|AI EDAM|299|0|0.64
2011|AI EDAM|298|0|0.786
2012|AI EDAM|348|0|0.407
2013|AI EDAM|477|0|0.553
2014|AI EDAM|389|0|0.604
2015|AI EDAM|450|0|0.877
2016|AI EDAM|569|0|0.803
2017|AI EDAM|703|0|1.045
2018|AI EDAM|630|0|0.894
2019|AI EDAM|634|0|1.119
2020|AI EDAM|1.5|0|1.671
2021|AI EDAM|826|0|1.634
2022|AI EDAM|826|0|1.634
2004|Neural Networks|3474|46.733|44.997
2005|Neural Networks|3626|39.358|37.693
2006|Neural Networks|4192|49.402|47.402
2007|Neural Networks|4552|52.078|50.127
2008|Neural Networks|5706|45.034|42.378
2009|Neural Networks|6488|36.337|34.458
2010|Neural Networks|5825|38.709|36.737
2011|Neural Networks|5336|40.785|38.603
2012|Neural Networks|5802|30.196|28.269
2013|Neural Networks|6135|28.803|26.727
2014|Neural Networks|6625|32.816|30.108
2015|Neural Networks|6902|32.631|29.415
2016|Neural Networks|8741|67.811|62.524
2017|Neural Networks|10086|68.347|61.15
2018|Neural Networks|13063|32.979|27.194
2019|Neural Networks|14065|35.178|29.643
2020|Neural Networks|7.119|34.836|26.786
2021|Neural Networks|23717|27.279|17.622
2022|Neural Networks|23717|16.132|6.475
2004|Neural Computation|4542|102.724|100.36
2005|Neural Computation|4425|99.38|96.789
2006|Neural Computation|5221|62.863|60.634
2007|Neural Computation|5787|87.037|84.703
2008|Neural Computation|6730|87.319|84.941
2009|Neural Computation|7456|47.414|45.239
2010|Neural Computation|7581|38.311|36.021
2011|Neural Computation|6785|28.841|26.957
2012|Neural Computation|7366|24.41|22.65
2013|Neural Computation|7455|26.268|24.574
2014|Neural Computation|7782|29.589|27.382
2015|Neural Computation|7931|26.223|24.597
2016|Neural Computation|9746|17.085|15.147
2017|Neural Computation|10797|15.31|13.659
2018|Neural Computation|14077|24.616|22.355
2019|Neural Computation|14624|21.886|19.381
2020|Neural Computation|1.922|15.514|13.488
2021|Neural Computation|22519|13.264|9.986
2022|Neural Computation|22519|5.88|2.602
2004|International Journal of Computer Vision|3446|133.977|131.063
2005|International Journal of Computer Vision|3665|551.829|548.172
2006|International Journal of Computer Vision|4405|534.721|528.636
2007|International Journal of Computer Vision|5056|138.677|135.296
2008|International Journal of Computer Vision|8660|111.846|106.488
2009|International Journal of Computer Vision|7324|136.346|132.838
2010|International Journal of Computer Vision|9898|120.006|114.855
2011|International Journal of Computer Vision|8673|126.716|122.975
2012|International Journal of Computer Vision|8984|118.556|114.933
2013|International Journal of Computer Vision|10576|67.86|64.327
2014|International Journal of Computer Vision|10650|96.469|92.659
2015|International Journal of Computer Vision|11407|95.96|91.69
2016|International Journal of Computer Vision|16093|176.028|167.806
2017|International Journal of Computer Vision|16572|169.191|157.65
2018|International Journal of Computer Vision|17707|50.022|43.951
2019|International Journal of Computer Vision|16022|51.257|45.559
2020|International Journal of Computer Vision|7.0|42.805|35.395
2021|International Journal of Computer Vision|23067|38.346|24.977
2022|International Journal of Computer Vision|23067|30.387|17.018
2004|Journal of Intelligent &amp; Robotic Systems|199|14.799|14.545
2005|Journal of Intelligent &amp; Robotic Systems|182|14.872|14.653
2006|Journal of Intelligent &amp; Robotic Systems|249|18.623|18.358
2007|Journal of Intelligent &amp; Robotic Systems|294|19.129|18.67
2008|Journal of Intelligent &amp; Robotic Systems|497|19.891|19.331
2009|Journal of Intelligent &amp; Robotic Systems|568|19.841|18.983
2010|Journal of Intelligent &amp; Robotic Systems|575|21.439|20.682
2011|Journal of Intelligent &amp; Robotic Systems|610|26.245|25.416
2012|Journal of Intelligent &amp; Robotic Systems|775|25.502|24.675
2013|Journal of Intelligent &amp; Robotic Systems|825|22.804|21.994
2014|Journal of Intelligent &amp; Robotic Systems|1202|25.112|23.934
2015|Journal of Intelligent &amp; Robotic Systems|1241|25.401|24.469
2016|Journal of Intelligent &amp; Robotic Systems|2055|23.025|21.513
2017|Journal of Intelligent &amp; Robotic Systems|2664|20.073|18.49
2018|Journal of Intelligent &amp; Robotic Systems|3443|18.818|16.798
2019|Journal of Intelligent &amp; Robotic Systems|3904|15.477|13.218
2020|Journal of Intelligent &amp; Robotic Systems|2.402|12.378|9.732
2021|Journal of Intelligent &amp; Robotic Systems|5397|10.796|7.667
2022|Journal of Intelligent &amp; Robotic Systems|5397|6.545|3.416
2004|AI Communications|196|0|0.738
2005|AI Communications|209|0|0.612
2006|AI Communications|236|0|0.469
2007|AI Communications|251|0|0.585
2008|AI Communications|310|0|0.608
2009|AI Communications|461|15.278|14.523
2010|AI Communications|294|13.571|12.734
2011|AI Communications|237|11.0|10.5
2012|AI Communications|249|12.265|11.816
2013|AI Communications|230|11.418|10.952
2014|AI Communications|330|7.156|6.609
2015|AI Communications|308|5.632|5.268
2016|AI Communications|362|5.248|4.594
2017|AI Communications|399|5.5|5.039
2018|AI Communications|416|12.286|11.521
2019|AI Communications|429|11.638|10.638
2020|AI Communications|0.537|3.962|3.425
