Rank,Full Journal Title,JCR Abbreviated Title,Category,ISSN,Total Cites,Journal Impact Factor,Impact Factor without Journal Self Cites,5-Year Impact Factor,Immediacy Index,Eigenfactor Score,Article Influence Score,Average Journal Impact Factor Percentile
6011,CONTRIBUTIONS TO ZOOLOGY,CONTRIB ZOOL,ZOOLOGY,1383-4517,423,1.641,1.564,1.670,0.375,0.000690,0.574,71.386
6011,Chemosensory Perception,CHEMOSENS PERCEPT,FOOD SCIENCE & TECHNOLOGY,1936-5802,379,1.641,1.590,1.769,0.0,0.000780,0.526,31.830
6011,Chemosensory Perception,CHEMOSENS PERCEPT,NEUROSCIENCES,1936-5802,379,1.641,1.590,1.769,0.0,0.000780,0.526,31.830
6011,DECISION SCIENCES,DECISION SCI,MANAGEMENT,0011-7315,"3,547",1.641,1.500,2.479,0.243,0.002070,0.785,42.344
6011,ECONOMICA,ECONOMICA,ECONOMICS,0013-0427,"2,249",1.641,1.577,1.761,0.114,0.003890,1.568,69.547
6011,GROUP DYNAMICS-THEORY RESEARCH AND PRACTICE,GROUP DYN-THEOR RES,"PSYCHOLOGY, SOCIAL",1089-2699,982,1.641,1.385,1.835,0.059,0.000830,0.586,50.781
6011,Geotechnique Letters,GEOTECH LETT,"ENGINEERING, GEOLOGICAL",2049-825X,480,1.641,1.467,2.052,0.08,0.002450,0.847,40.278
6011,Politics & Gender,POLIT GENDER,POLITICAL SCIENCE,1743-923X,703,1.641,1.172,2.168,0.129,0.001370,0.839,74.954
6011,Politics & Gender,POLIT GENDER,WOMENS STUDIES,1743-923X,703,1.641,1.172,2.168,0.129,0.001370,0.839,74.954
6018,Clinical Simulation in Nursing,CLIN SIMUL NURS,NURSING-SCIE,1876-1399,978,1.640,0.986,Not Available,0.118,0.001600,0.389,74.261
6018,Clinical Simulation in Nursing,CLIN SIMUL NURS,NURSING-SSCI,1876-1399,978,1.640,0.986,Not Available,0.118,0.001600,0.389,74.261
6018,IEEE COMPUTER GRAPHICS AND APPLICATIONS,IEEE COMPUT GRAPH,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",0272-1716,"2,234",1.640,1.584,1.673,0.188,0.001650,0.576,63.942
6018,JASSS-THE JOURNAL OF ARTIFICIAL SOCIETIES AND SOCIAL SIMULATION,JASSS-J ARTIF SOC S,"SOCIAL SCIENCES, INTERDISCIPLINARY",1460-7425,"1,180",1.640,1.315,1.789,0.604,0.001370,0.407,71.939
6018,JOURNAL OF CLINICAL NEUROSCIENCE,J CLIN NEUROSCI,CLINICAL NEUROLOGY,0967-5868,"7,352",1.640,1.564,1.573,0.256,0.013800,0.441,18.675
6018,JOURNAL OF CLINICAL NEUROSCIENCE,J CLIN NEUROSCI,NEUROSCIENCES,0967-5868,"7,352",1.640,1.564,1.573,0.256,0.013800,0.441,18.675
6018,MECHANICS RESEARCH COMMUNICATIONS,MECH RES COMMUN,MECHANICS,0093-6413,"2,898",1.640,1.548,1.942,0.512,0.004040,0.564,45.149
6024,Bioengineered,BIOENGINEERED,BIOTECHNOLOGY & APPLIED MICROBIOLOGY,2165-5979,589,1.639,1.500,2.031,0.553,0.002000,0.564,30.938
6024,EURASIP Journal on Advances in Signal Processing,EURASIP J ADV SIG PR,"ENGINEERING, ELECTRICAL & ELECTRONIC",1687-6180,"4,315",1.639,1.525,1.920,0.234,0.006320,0.542,44.808
6024,Economics of Energy & Environmental Policy,ECON ENERGY ENV POL,ECONOMICS,2160-5882,211,1.639,1.639,2.088,1.214,0.000950,0.765,52.456
6024,Economics of Energy & Environmental Policy,ECON ENERGY ENV POL,ENVIRONMENTAL STUDIES,2160-5882,211,1.639,1.639,2.088,1.214,0.000950,0.765,52.456
6024,HOUSING STUDIES,HOUSING STUD,ENVIRONMENTAL STUDIES,0267-3037,"1,868",1.639,1.444,2.015,0.519,0.002480,0.660,43.449
6024,HOUSING STUDIES,HOUSING STUD,URBAN STUDIES,0267-3037,"1,868",1.639,1.444,2.015,0.519,0.002480,0.660,43.449
6024,Information Technology & People,INFORM TECHNOL PEOPL,INFORMATION SCIENCE & LIBRARY SCIENCE,0959-3845,673,1.639,1.333,2.138,0.186,0.000580,0.325,63.068
6024,JOURNAL OF SOUTH AMERICAN EARTH SCIENCES,J S AM EARTH SCI,"GEOSCIENCES, MULTIDISCIPLINARY",0895-9811,"3,316",1.639,1.316,1.896,0.233,0.004570,0.546,41.005
6030,JOURNAL OF MEMBRANE BIOLOGY,J MEMBRANE BIOL,CELL BIOLOGY,0022-2631,"4,002",1.638,1.562,1.689,0.382,0.003020,0.456,18.998
6030,JOURNAL OF MEMBRANE BIOLOGY,J MEMBRANE BIOL,BIOCHEMISTRY & MOLECULAR BIOLOGY,0022-2631,"4,002",1.638,1.562,1.689,0.382,0.003020,0.456,18.998
6030,JOURNAL OF MEMBRANE BIOLOGY,J MEMBRANE BIOL,PHYSIOLOGY,0022-2631,"4,002",1.638,1.562,1.689,0.382,0.003020,0.456,18.998
6030,KONA Powder and Particle Journal,KONA POWDER PART J,"ENGINEERING, CHEMICAL",0288-4534,437,1.638,1.553,1.523,0.545,0.000450,0.378,43.116
6030,KONA Powder and Particle Journal,KONA POWDER PART J,MATERIALS SCIENCE,0288-4534,437,1.638,1.553,1.523,0.545,0.000450,0.378,43.116
6032,Computers and Concrete,COMPUT CONCRETE,"ENGINEERING, CIVIL",1598-8198,839,1.637,0.826,1.432,0.279,0.001230,0.204,53.128
6032,Computers and Concrete,COMPUT CONCRETE,CONSTRUCTION & BUILDING TECHNOLOGY,1598-8198,839,1.637,0.826,1.432,0.279,0.001230,0.204,53.128
6033,BioSocieties,BIOSOCIETIES,"SOCIAL SCIENCES, BIOMEDICAL",1745-8552,516,1.636,1.591,1.980,0.6,0.001110,0.804,55.952
6033,Journal of Linguistic Anthropology,J LINGUIST ANTHROPOL,LINGUISTICS,1055-1360,588,1.636,1.545,1.301,0.0,0.000630,0.557,77.787
6033,Journal of Linguistic Anthropology,J LINGUIST ANTHROPOL,ANTHROPOLOGY,1055-1360,588,1.636,1.545,1.301,0.0,0.000630,0.557,77.787
6033,ROFO-FORTSCHRITTE AUF DEM GEBIET DER RONTGENSTRAHLEN UND DER BILDGEBENDEN VERFAHREN,ROFO-FORTSCHR RONTG,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING",1438-9029,"1,462",1.636,1.430,1.400,0.582,0.002200,0.374,36.328
6036,BMC MEDICAL IMAGING,BMC MED IMAGING,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING",1471-2342,815,1.635,1.563,1.854,0.261,0.001690,0.499,35.547
6036,CLINICAL AUTONOMIC RESEARCH,CLIN AUTON RES,CLINICAL NEUROLOGY,0959-9851,"1,493",1.635,1.240,1.674,0.887,0.001380,0.469,18.229
6036,CLINICAL AUTONOMIC RESEARCH,CLIN AUTON RES,NEUROSCIENCES,0959-9851,"1,493",1.635,1.240,1.674,0.887,0.001380,0.469,18.229
6036,CROP SCIENCE,CROP SCI,AGRONOMY,0011-183X,"17,363",1.635,1.386,1.852,0.413,0.009500,0.482,70.690
6036,Information Technology & Management,INFORM TECHNOL MANAG,MANAGEMENT,1385-951X,501,1.635,1.635,1.805,0.6,0.000510,0.290,51.899
6036,Information Technology & Management,INFORM TECHNOL MANAG,INFORMATION SCIENCE & LIBRARY SCIENCE,1385-951X,501,1.635,1.635,1.805,0.6,0.000510,0.290,51.899
6036,JOURNAL OF CLINICAL NURSING,J CLIN NURS,NURSING-SCIE,0962-1067,"9,521",1.635,1.472,1.980,0.298,0.011770,0.482,73.403
6036,JOURNAL OF CLINICAL NURSING,J CLIN NURS,NURSING-SSCI,0962-1067,"9,521",1.635,1.472,1.980,0.298,0.011770,0.482,73.403
6036,JOURNAL OF REPRODUCTION AND DEVELOPMENT,J REPROD DEVELOP,"AGRICULTURE, DAIRY & ANIMAL SCIENCE",0916-8818,"2,000",1.635,1.455,1.811,0.372,0.002720,0.456,49.124
6036,JOURNAL OF REPRODUCTION AND DEVELOPMENT,J REPROD DEVELOP,REPRODUCTIVE BIOLOGY,0916-8818,"2,000",1.635,1.455,1.811,0.372,0.002720,0.456,49.124
6036,Nutrition Research and Practice,NUTR RES PRACT,NUTRITION & DIETETICS,1976-1457,"1,151",1.635,1.535,1.764,0.25,0.002020,0.360,22.840
6044,Asian Pacific Journal of Tropical Medicine,ASIAN PAC J TROP MED,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",1995-7645,"2,368",1.634,1.571,1.677,0.297,0.004850,0.327,45.000
6044,Asian Pacific Journal of Tropical Medicine,ASIAN PAC J TROP MED,TROPICAL MEDICINE,1995-7645,"2,368",1.634,1.571,1.677,0.297,0.004850,0.327,45.000
6044,Ecological Complexity,ECOL COMPLEX,ECOLOGY,1476-945X,"1,442",1.634,1.536,2.044,0.439,0.002410,0.645,37.025
6044,Energy Efficiency,ENERG EFFIC,ENVIRONMENTAL STUDIES,1570-646X,"1,078",1.634,1.463,2.035,0.333,0.001630,0.379,28.909
6044,Energy Efficiency,ENERG EFFIC,ENERGY & FUELS,1570-646X,"1,078",1.634,1.463,2.035,0.333,0.001630,0.379,28.909
6044,Energy Efficiency,ENERG EFFIC,GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY,1570-646X,"1,078",1.634,1.463,2.035,0.333,0.001630,0.379,28.909
6044,Mass Communication and Society,MASS COMMUN SOC,COMMUNICATION,1520-5436,"1,247",1.634,1.521,1.830,0.128,0.001760,0.662,63.690
6049,Annals of Diagnostic Pathology,ANN DIAGN PATHOL,PATHOLOGY,1092-9134,"1,372",1.633,1.573,1.399,0.293,0.002180,0.377,37.342
6049,BEHAVIOURAL AND COGNITIVE PSYCHOTHERAPY,BEHAV COGN PSYCHOTH,"PSYCHOLOGY, CLINICAL",1352-4658,"1,822",1.633,1.542,2.022,0.423,0.002280,0.598,39.764
6049,JOURNAL OF NON-EQUILIBRIUM THERMODYNAMICS,J NON-EQUIL THERMODY,MECHANICS,0340-0204,532,1.633,1.306,1.642,0.174,0.000660,0.452,47.201
6049,JOURNAL OF NON-EQUILIBRIUM THERMODYNAMICS,J NON-EQUIL THERMODY,THERMODYNAMICS,0340-0204,532,1.633,1.306,1.642,0.174,0.000660,0.452,47.201
6049,Nonprofit Management & Leadership,NONPROFIT MANAG LEAD,MANAGEMENT,1048-6682,913,1.633,0.900,1.603,0.233,0.000520,0.278,47.821
6053,HEREDITAS,HEREDITAS,GENETICS & HEREDITY,1601-5223,"1,555",1.632,1.632,1.450,0.097,0.000430,0.392,23.684
6053,JOURNAL OF COMPUTATIONAL AND APPLIED MATHEMATICS,J COMPUT APPL MATH,"MATHEMATICS, APPLIED",0377-0427,"12,653",1.632,1.459,1.651,0.561,0.019460,0.685,80.754
6053,JOURNAL OF ECONOMETRICS,J ECONOMETRICS,ECONOMICS,0304-4076,"15,790",1.632,1.391,2.179,0.328,0.026740,2.604,65.619
6053,JOURNAL OF ECONOMETRICS,J ECONOMETRICS,"MATHEMATICS, INTERDISCIPLINARY APPLICATIONS",0304-4076,"15,790",1.632,1.391,2.179,0.328,0.026740,2.604,65.619
6053,LEARNED PUBLISHING,LEARN PUBL,INFORMATION SCIENCE & LIBRARY SCIENCE,0953-1513,458,1.632,1.338,1.359,1.0,0.000760,0.354,60.795
6053,PHILOSOPHICAL MAGAZINE,PHILOS MAG,"PHYSICS, APPLIED",1478-6435,"13,501",1.632,1.531,1.575,0.43,0.009400,0.535,45.831
6053,PHILOSOPHICAL MAGAZINE,PHILOS MAG,MATERIALS SCIENCE,1478-6435,"13,501",1.632,1.531,1.575,0.43,0.009400,0.535,45.831
6053,PHILOSOPHICAL MAGAZINE,PHILOS MAG,METALLURGY & METALLURGICAL ENGINEERING,1478-6435,"13,501",1.632,1.531,1.575,0.43,0.009400,0.535,45.831
6053,PHILOSOPHICAL MAGAZINE,PHILOS MAG,"PHYSICS, CONDENSED MATTER",1478-6435,"13,501",1.632,1.531,1.575,0.43,0.009400,0.535,45.831
6053,REVISTA ESPANOLA DE ENFERMEDADES DIGESTIVAS,REV ESP ENFERM DIG,GASTROENTEROLOGY & HEPATOLOGY,1130-0108,"1,374",1.632,1.247,1.707,0.596,0.001740,0.334,18.125
6053,VETERINARY IMMUNOLOGY AND IMMUNOPATHOLOGY,VET IMMUNOL IMMUNOP,VETERINARY SCIENCES,0165-2427,"5,869",1.632,1.556,1.593,0.307,0.005290,0.412,46.077
6053,VETERINARY IMMUNOLOGY AND IMMUNOPATHOLOGY,VET IMMUNOL IMMUNOP,IMMUNOLOGY,0165-2427,"5,869",1.632,1.556,1.593,0.307,0.005290,0.412,46.077
6061,International Studies Review,INT STUD REV,POLITICAL SCIENCE,1521-9488,937,1.631,1.492,2.155,0.222,0.001990,1.019,66.220
6061,International Studies Review,INT STUD REV,INTERNATIONAL RELATIONS,1521-9488,937,1.631,1.492,2.155,0.222,0.001990,1.019,66.220
6061,WASTE MANAGEMENT & RESEARCH,WASTE MANAGE RES,ENVIRONMENTAL SCIENCES,0734-242X,"3,654",1.631,1.373,1.955,0.379,0.002990,0.312,37.521
6061,WASTE MANAGEMENT & RESEARCH,WASTE MANAGE RES,"ENGINEERING, ENVIRONMENTAL",0734-242X,"3,654",1.631,1.373,1.955,0.379,0.002990,0.312,37.521
6063,Journal of the Institute of Mathematics of Jussieu,J INST MATH JUSSIEU,MATHEMATICS,1474-7480,435,1.630,1.587,1.319,0.96,0.003810,2.326,93.042
6063,Mind Brain and Education,MIND BRAIN EDUC,EDUCATION & EDUCATIONAL RESEARCH,1751-2271,542,1.630,1.500,2.338,0.0,0.001300,0.727,47.924
6063,Mind Brain and Education,MIND BRAIN EDUC,"PSYCHOLOGY, DEVELOPMENTAL",1751-2271,542,1.630,1.500,2.338,0.0,0.001300,0.727,47.924
6065,FRACTALS-COMPLEX GEOMETRY PATTERNS AND SCALING IN NATURE AND SOCIETY,FRACTALS,"MATHEMATICS, INTERDISCIPLINARY APPLICATIONS",0218-348X,"1,077",1.629,0.905,1.648,0.938,0.000870,0.329,61.389
6065,FRACTALS-COMPLEX GEOMETRY PATTERNS AND SCALING IN NATURE AND SOCIETY,FRACTALS,MULTIDISCIPLINARY SCIENCES,0218-348X,"1,077",1.629,0.905,1.648,0.938,0.000870,0.329,61.389
6065,JOURNAL OF APPLIED ENTOMOLOGY,J APPL ENTOMOL,ENTOMOLOGY,0931-2048,"2,898",1.629,1.539,1.767,0.64,0.002940,0.474,68.229
6067,Earth Science Informatics,EARTH SCI INFORM,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",1865-0473,326,1.628,1.540,1.517,0.425,0.000850,0.359,39.524
6067,Earth Science Informatics,EARTH SCI INFORM,"GEOSCIENCES, MULTIDISCIPLINARY",1865-0473,326,1.628,1.540,1.517,0.425,0.000850,0.359,39.524
6067,INTERNATIONAL JOURNAL OF GYNECOLOGICAL PATHOLOGY,INT J GYNECOL PATHOL,OBSTETRICS & GYNECOLOGY,0277-1691,"2,255",1.628,1.436,1.557,0.481,0.002480,0.445,33.587
6067,INTERNATIONAL JOURNAL OF GYNECOLOGICAL PATHOLOGY,INT J GYNECOL PATHOL,PATHOLOGY,0277-1691,"2,255",1.628,1.436,1.557,0.481,0.002480,0.445,33.587
6067,JOURNAL OF ANTHROPOLOGICAL ARCHAEOLOGY,J ANTHROPOL ARCHAEOL,ANTHROPOLOGY,0278-4165,"1,948",1.628,1.554,2.105,0.788,0.002420,0.681,72.353
6067,MATHEMATICAL MEDICINE AND BIOLOGY-A JOURNAL OF THE IMA,MATH MED BIOL,BIOLOGY,1477-8599,467,1.628,1.581,1.720,0.375,0.000840,0.611,52.612
6067,MATHEMATICAL MEDICINE AND BIOLOGY-A JOURNAL OF THE IMA,MATH MED BIOL,'MATHEMATICAL & COMPUTATIONAL BIOLOGY,1477-8599,467,1.628,1.581,1.720,0.375,0.000840,0.611,52.612
6071,Journal of the Brazilian Society of Mechanical Sciences and Engineering,J BRAZ SOC MECH SCI,"ENGINEERING, MECHANICAL",1678-5878,"1,481",1.627,1.362,1.482,0.487,0.002140,0.274,47.266
6072,AMERICAN JOURNAL OF HEALTH BEHAVIOR,AM J HEALTH BEHAV,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",1945-7359,"2,005",1.626,1.509,1.650,0.145,0.003280,0.553,50.962
6072,COLLEGE & RESEARCH LIBRARIES,COLL RES LIBR,INFORMATION SCIENCE & LIBRARY SCIENCE,0010-0870,"1,121",1.626,1.505,1.926,0.612,0.000840,0.304,59.659
6072,JOURNAL OF CAREER ASSESSMENT,J CAREER ASSESSMENT,"PSYCHOLOGY, APPLIED",1069-0727,"1,279",1.626,1.363,2.130,0.783,0.001770,0.599,46.951
6075,ACTA ETHOLOGICA,ACTA ETHOL,ZOOLOGY,0873-9749,446,1.625,1.589,1.493,0.086,0.000930,0.505,43.725
6075,ACTA ETHOLOGICA,ACTA ETHOL,BEHAVIORAL SCIENCES,0873-9749,446,1.625,1.589,1.493,0.086,0.000930,0.505,43.725
6075,CHEMISTRY LETTERS,CHEM LETT,"CHEMISTRY, MULTIDISCIPLINARY",0366-7022,"13,933",1.625,1.461,1.393,0.525,0.011810,0.313,41.228
6075,EDUCATIONAL REVIEW,EDUC REV,EDUCATION & EDUCATIONAL RESEARCH,0013-1911,"1,077",1.625,1.500,2.259,0.382,0.000930,0.489,63.235
6075,Energy Sustainability and Society,ENERGY SUSTAIN SOC,ENERGY & FUELS,2192-0567,327,1.625,1.486,Not Available,0.143,0.000810,0.818,34.724
6075,Energy Sustainability and Society,ENERGY SUSTAIN SOC,GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY,2192-0567,327,1.625,1.486,Not Available,0.143,0.000810,0.818,34.724
6075,INVERTEBRATE NEUROSCIENCE,INVERTEBR NEUROSCI,NEUROSCIENCES,1354-2516,361,1.625,1.500,1.534,0.0,0.000310,0.398,15.517
6075,International Journal of Transitional Justice,INT J TRANSIT JUST,LAW,1752-7716,614,1.625,1.268,2.007,0.148,0.001040,0.552,69.974
6075,International Journal of Transitional Justice,INT J TRANSIT JUST,POLITICAL SCIENCE,1752-7716,614,1.625,1.268,2.007,0.148,0.001040,0.552,69.974
6075,International Journal of Transitional Justice,INT J TRANSIT JUST,INTERNATIONAL RELATIONS,1752-7716,614,1.625,1.268,2.007,0.148,0.001040,0.552,69.974
6075,JOURNAL OF CELLULAR PLASTICS,J CELL PLAST,POLYMER SCIENCE,0021-955X,740,1.625,1.417,1.961,0.548,0.000610,0.349,48.146
6075,JOURNAL OF CELLULAR PLASTICS,J CELL PLAST,"CHEMISTRY, APPLIED",0021-955X,740,1.625,1.417,1.961,0.548,0.000610,0.349,48.146
6075,LAW & SOCIETY REVIEW,LAW SOC REV,SOCIOLOGY,0023-9216,"2,575",1.625,1.321,2.183,0.269,0.001710,0.878,74.729
6075,LAW & SOCIETY REVIEW,LAW SOC REV,LAW,0023-9216,"2,575",1.625,1.321,2.183,0.269,0.001710,0.878,74.729
6075,Microscopy,MICROSCOPY-JPN,MICROSCOPY,2050-5698,411,1.625,1.518,1.702,0.229,0.002050,0.634,45.000
6084,FISHERIES MANAGEMENT AND ECOLOGY,FISHERIES MANAG ECOL,FISHERIES,0969-997X,"1,530",1.624,1.485,2.051,0.173,0.002080,0.595,59.000
6084,JOURNAL OF THORACIC IMAGING,J THORAC IMAG,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING",0883-5993,"1,311",1.624,1.535,1.780,0.44,0.002200,0.549,34.766
6084,Petroleum Science,PETROL SCI,ENERGY & FUELS,1672-5107,649,1.624,1.488,1.271,0.185,0.001810,0.405,59.088
6084,Petroleum Science,PETROL SCI,"ENGINEERING, PETROLEUM",1672-5107,649,1.624,1.488,1.271,0.185,0.001810,0.405,59.088
6087,AMERICAN JOURNAL OF PERINATOLOGY,AM J PERINAT,PEDIATRICS,0735-1631,"3,046",1.623,1.548,1.766,0.443,0.007050,0.638,38.528
6087,AMERICAN JOURNAL OF PERINATOLOGY,AM J PERINAT,OBSTETRICS & GYNECOLOGY,0735-1631,"3,046",1.623,1.548,1.766,0.443,0.007050,0.638,38.528
6087,EXPERIMENTAL AND CLINICAL ENDOCRINOLOGY & DIABETES,EXP CLIN ENDOCR DIAB,ENDOCRINOLOGY & METABOLISM,0947-7349,"2,476",1.623,1.544,1.622,0.398,0.003020,0.423,17.133
6087,JOURNAL OF INTERNATIONAL MONEY AND FINANCE,J INT MONEY FINANC,"BUSINESS, FINANCE",0261-5606,"3,958",1.623,1.342,2.418,0.4,0.007530,0.906,65.816
6087,JOURNAL OF SOCIOLINGUISTICS,J SOCIOLING,LINGUISTICS,1360-6441,"1,061",1.623,1.340,1.945,0.24,0.001300,0.744,81.492
6087,Journal of Digestive Diseases,J DIGEST DIS,GASTROENTEROLOGY & HEPATOLOGY,1751-2972,"1,314",1.623,1.571,1.781,0.241,0.003300,0.495,16.875
6087,Journal of Geographical Sciences,J GEOGR SCI,FAMILY STUDIES,1009-637X,"1,849",1.623,1.459,2.151,0.429,0.002930,0.479,31.633
6093,Canadian Journal of Gastroenterology and Hepatology,CAN J GASTROENTEROL,GASTROENTEROLOGY & HEPATOLOGY,2291-2797,"2,202",1.622,1.580,2.121,0.358,0.003700,0.739,15.625
6093,ENGINEERING OPTIMIZATION,ENG OPTIMIZ,"ENGINEERING, MULTIDISCIPLINARY",0305-215X,"2,171",1.622,1.421,1.908,0.448,0.003240,0.514,58.514
6093,ENGINEERING OPTIMIZATION,ENG OPTIMIZ,OPERATIONS RESEARCH & MANAGEMENT SCIENCE,0305-215X,"2,171",1.622,1.421,1.908,0.448,0.003240,0.514,58.514
6093,Mobile Media & Communication,MOB MEDIA COMMUN,COMMUNICATION,2050-1579,226,1.622,1.489,1.922,0.864,0.000740,0.527,62.500
6093,THEORY CULTURE & SOCIETY,THEOR CULT SOC,CULTURAL STUDIES,0263-2764,"3,854",1.622,1.598,2.421,0.891,0.004470,1.051,93.750
6097,ANNALES GEOPHYSICAE,ANN GEOPHYS-GERMANY,"GEOSCIENCES, MULTIDISCIPLINARY",0992-7689,"5,663",1.621,1.469,1.614,0.387,0.005860,0.611,37.864
6097,ANNALES GEOPHYSICAE,ANN GEOPHYS-GERMANY,METEOROLOGY & ATMOSPHERIC SCIENCES,0992-7689,"5,663",1.621,1.469,1.614,0.387,0.005860,0.611,37.864
6097,ANNALES GEOPHYSICAE,ANN GEOPHYS-GERMANY,ASTRONOMY & ASTROPHYSICS,0992-7689,"5,663",1.621,1.469,1.614,0.387,0.005860,0.611,37.864
6097,COMPTES RENDUS GEOSCIENCE,CR GEOSCI,"GEOSCIENCES, MULTIDISCIPLINARY",1631-0713,"2,228",1.621,1.592,1.895,0.182,0.002190,0.642,39.947
6097,Chemistry Education Research and Practice,CHEM EDUC RES PRACT,EDUCATION & EDUCATIONAL RESEARCH,1109-4028,"1,170",1.621,1.110,1.846,0.561,0.001660,0.395,61.286
6097,Chemistry Education Research and Practice,CHEM EDUC RES PRACT,"EDUCATION, SCIENTIFIC DISCIPLINES",1109-4028,"1,170",1.621,1.110,1.846,0.561,0.001660,0.395,61.286
6097,PHYSICAL BIOLOGY,PHYS BIOL,BIOCHEMISTRY & MOLECULAR BIOLOGY,1478-3967,"1,827",1.621,1.537,1.995,0.313,0.004580,0.807,21.323
6097,PHYSICAL BIOLOGY,PHYS BIOL,BIOPHYSICS,1478-3967,"1,827",1.621,1.537,1.995,0.313,0.004580,0.807,21.323
6102,AGEING & SOCIETY,AGEING SOC,GERONTOLOGY,0144-686X,"2,791",1.620,1.478,2.126,0.545,0.003040,0.577,54.167
6102,HUMAN NATURE-AN INTERDISCIPLINARY BIOSOCIAL PERSPECTIVE,HUM NATURE-INT BIOS,ANTHROPOLOGY,1045-6767,"1,568",1.620,1.600,2.568,1.0,0.002040,1.123,62.374
6102,HUMAN NATURE-AN INTERDISCIPLINARY BIOSOCIAL PERSPECTIVE,HUM NATURE-INT BIOS,"SOCIAL SCIENCES, BIOMEDICAL",1045-6767,"1,568",1.620,1.600,2.568,1.0,0.002040,1.123,62.374
6102,PHOTOMEDICINE AND LASER SURGERY,PHOTOMED LASER SURG,SURGERY,1549-5418,"2,282",1.620,1.373,1.822,0.347,0.002170,0.350,44.250
6102,REVIEW OF ECONOMIC DYNAMICS,REV ECON DYNAM,ECONOMICS,1094-2025,"1,500",1.620,1.510,1.982,0.22,0.008850,2.960,68.697
6102,SOCIOLOGICAL FORUM,SOCIOL FORUM,SOCIOLOGY,0884-8971,"1,647",1.620,1.380,1.602,0.25,0.002270,0.714,69.521
6107,BIOSYSTEMS,BIOSYSTEMS,BIOLOGY,0303-2647,"2,563",1.619,1.459,1.460,0.377,0.002670,0.421,51.176
6107,BIOSYSTEMS,BIOSYSTEMS,'MATHEMATICAL & COMPUTATIONAL BIOLOGY,0303-2647,"2,563",1.619,1.459,1.460,0.377,0.002670,0.421,51.176
6107,International Transactions on Electrical Energy Systems,INT T ELECTR ENERGY,"ENGINEERING, ELECTRICAL & ELECTRONIC",2050-7038,"1,025",1.619,0.875,1.624,0.204,0.001940,0.236,44.423
6107,Journal of Coatings Technology and Research,J COAT TECHNOL RES,"CHEMISTRY, APPLIED",1945-9645,"1,358",1.619,1.457,1.744,0.279,0.001970,0.302,43.328
6107,Journal of Coatings Technology and Research,J COAT TECHNOL RES,MATERIALS SCIENCE,1945-9645,"1,358",1.619,1.457,1.744,0.279,0.001970,0.302,43.328
6107,Journal of Vascular Surgery-Venous and Lymphatic Disorders,J VASC SURG-VENOUS L,SURGERY,2213-333X,516,1.619,1.269,2.025,0.521,0.001530,0.473,36.106
6107,Journal of Vascular Surgery-Venous and Lymphatic Disorders,J VASC SURG-VENOUS L,PERIPHERAL VASCULAR DISEASE,2213-333X,516,1.619,1.269,2.025,0.521,0.001530,0.473,36.106
6111,Diagnostic and Interventional Radiology,DIAGN INTERV RADIOL,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING",1305-3612,"1,164",1.618,1.588,1.627,0.355,0.002300,0.396,33.984
6111,IT Professional,IT PROF,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",1520-9202,592,1.618,1.397,1.561,0.525,0.001090,0.424,50.947
6111,IT Professional,IT PROF,TELECOMMUNICATIONS,1520-9202,592,1.618,1.397,1.561,0.525,0.001090,0.424,50.947
6111,IT Professional,IT PROF,"COMPUTER SCIENCE, INFORMATION SYSTEMS",1520-9202,592,1.618,1.397,1.561,0.525,0.001090,0.424,50.947
6113,CHEMISTRY & BIODIVERSITY,CHEM BIODIVERS,"CHEMISTRY, MULTIDISCIPLINARY",1612-1872,"3,869",1.617,1.410,1.624,0.391,0.004340,0.362,28.626
6113,CHEMISTRY & BIODIVERSITY,CHEM BIODIVERS,BIOCHEMISTRY & MOLECULAR BIOLOGY,1612-1872,"3,869",1.617,1.410,1.624,0.391,0.004340,0.362,28.626
6113,International Journal of Hypertension,INT J HYPERTENS,PERIPHERAL VASCULAR DISEASE,2090-0384,654,1.617,1.553,Not Available,0.188,0.001730,2.675,26.923
6113,Korean Journal of Orthodontics,KOREAN J ORTHOD,"DENTISTRY, ORAL SURGERY & MEDICINE",2234-7518,463,1.617,1.136,1.840,0.262,0.001420,0.532,53.297
6116,GEOGRAFISKA ANNALER SERIES A-PHYSICAL GEOGRAPHY,GEOGR ANN A,"GEOGRAPHY, PHYSICAL",0435-3676,"1,523",1.616,1.534,1.729,0.545,0.001230,0.528,47.243
6116,JOURNAL OF IRRIGATION AND DRAINAGE ENGINEERING,J IRRIG DRAIN ENG,"ENGINEERING, CIVIL",0733-9437,"3,468",1.616,1.218,1.714,0.246,0.002950,0.391,55.498
