DOI,Título,Autores,Año,Citas,Revista
10.1080/0952813x.2013.782981,"A whole box of Pandoras: systems, boundaries and free will in quantum theory1",Chris Fields,2013,3,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/0952813x.2019.1652358,Analyzing trajectories of learning processes through behaviour-based entropy,Shinsuke Seino and Kenji Kimura and Satoshi Kawamura and Yoshifumi Sasaki and Akira Maruoka,2020,0,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/09528130600557713,Accounting for a variety of reasoning data within a cognitive architecture,Ron Sun and Xi Zhang,2006,36,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/0952813x.2014.924577,Recent advances in the application of computational intelligence techniques in oil and gas reservoir characterisation: a comparative study,Fatai Anifowose and Suli Adeniye and Abdulazeez Abdulraheem,2014,29,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/09528130802319128,SAL: an explicitly pluralistic cognitive architecture,David J. Jilk and Christian Lebiere and Randall C. O’Reilly and John R. Anderson,2008,64,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/0952813x.2016.1264090,An approach to the language discrimination in different scripts using adjacent local binary pattern,D. Brodić and A. Amelio and Z. N. Milivojević,2017,8,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/0952813x.2014.895109,Bounding the impact of AGI,András Kornai,2014,8,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/0952813x.2021.1955017,An internal supplemental action measurement to increase the gap of action values and reduce the sensitivity to overestimation error,Haolin Wu and Hui Li and Jianwei Zhang and Zhuang Wang and Zhiyong Huang,2022,0,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/0952813x.2021.1949753,Flexible brain: a domain-model based bayesian network for classification,Guanghao Jin and Qingzeng Song,2022,0,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/0952813x.2018.1546771,Pseudo almost periodic solutions for neutral-type FCNNs with D operator and time-varying delays,Yi Tang and Zengyun Wang and Zhiwen Long,2019,3,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/09528130701472416,Meta-case-based reasoning: self-improvement through self-understanding,J. William Murdock and Ashok K. Goel,2008,19,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/0952813x.2015.1024493,A decision support system to find the best water allocation strategies in a Mediterranean river basin in future scenarios of global change,L. Del Vasto-Terrientes and V. Kumar and T.-C. Chao and A. Valls,2016,6,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/0952813x.2021.1871972,Brazilian Forest Dataset: A new dataset to model local biodiversity,Ricardo A. Rios and Tatiane N. Rios and Gabriel R. Palma and Rodrigo F. De Mello,2022,1,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/0952813x.2010.539029,Using genetic algorithms to create meaningful poetic text,Ruli Manurung and Graeme Ritchie and Henry Thompson,2012,31,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/09528130500412050,Temporal reasoning about composite and/or periodic events,Paolo Terenziani and Luca Anselma,2006,3,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/09528130210162262,"Forms of meaning, meaning of forms",Bruno Gaume and Karine Duvignau and Olivier Gasquet and Marie-Dominique Gineste,2002,7,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/0952813x.2022.2120089,Quantum-behaved particle swarm optimization of convolutional neural network for fault diagnosis,Jie Chen and QingShan Xu and Xiaofeng Xue and Yingchao Guo and Runfeng Chen,2022,0,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/0952813x.2022.2143907,Learning from unbalanced catastrophic out-of-pocket health expenditure dataset: blending SMOTE-boosting with ensemble models,Songul Cinaroglu,2022,0,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/0952813x.2019.1710577,High-performance attribute reduction on graphics processing unit,Si-Yuan Jing and Jun Yang,2020,2,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/0952813x.2014.971441,A robotic intelligent wheelchair system based on obstacle avoidance and navigation functions,Mohammed Alshraideh and Basel A. Mahafzah and Saleh Al-Sharaeh and Ziad M. Hawamdeh,2015,3,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/0952813x.2020.1818294,A learning-based resource provisioning approach in the fog computing environment,Masoumeh Etemadi and Mostafa Ghobaei-Arani and Ali Shahidinejad,2021,9,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/09528130903010212,From soft constraints to bipolar preferences: modelling framework and solving issues,Stefano Bistarelli and Maria Silvia Pini and Francesca Rossi and K. Brent Venable,2010,14,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/0952813x.2019.1591524,Anti-periodic oscillations in fuzzy cellular neural networks with time-varying delays,Changjin Xu,2019,7,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/0952813x.2015.1055825,Secure clustering and routing for heterogeneous mobile wireless sensor networks with dynamic key management,V. Thiruppathy Kesavan and S. Radhakrishnan,2016,2,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/0952813x.2022.2117421,Optimization enabled deep learning method in container-based architecture of hybrid cloud for portability and interoperability-based application migration,Tej. C. Hiremath and Rekha K. S.,2022,0,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/0952813x.2022.2123563,Universal approximation with neural networks on function spaces,Wataru Kumagai and Akiyoshi Sannai and Makoto Kawano,2022,0,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/0952813x.2019.1652354,Discriminating deception from truth and misinformation: an intent-level approach,Deqing Li and Eugene Santos,2020,2,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/0952813x.2021.1871970,Fast copula variational inference,Jinjin Chi and Jihong Ouyang and Ang Zhang and Xinhua Wang and Ximing Li,2022,1,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/0952813x.2019.1620870,Prediction of stock movement using phase space reconstruction and extreme learning machines,Parus Khuwaja and Sunder Ali Khowaja and Imamuddin Khoso and Intizar Ali Lashari,2020,11,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/0952813x.2021.1907793,Human detection based on deep learning YOLO-v2 for real-time UAV applications,Kamel Boudjit and Naeem Ramzan,2022,16,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/0952813x.2019.1653386,On building a person: benchmarks for robotic personhood,John Barresi,2020,1,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/0952813x.2015.1020624,Genetic annealing with efficient strategies to improve the performance for the NP-hard and routing problems,Rajesh Eswarawaka and S.K. Noor Mahammad and B. Eswara Reddy,2015,4,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/0952813x.2016.1266037,Image steganalysis using Artificial Bee Colony algorithm,Hedieh Sajedi,2017,11,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/0952813x.2019.1647566,Deep CNN feature fusion with manifold learning and regression for pixel classification in HSI images,Vishal Srivastava and Bhaskar Biswas,2020,2,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/09528130412331290520,Applying machine learning to programming by demonstration,Gordon W. Paynter and Ian H. Witten,2004,2,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/0952813x.2018.1552315,A fuzzy rule-based generation algorithm in interval type-2 fuzzy logic system for fault prediction in the early phase of software development,Subhashis Chatterjee and Bappa Maji and Hoang Pham,2019,9,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/0952813x.2015.1042531,Prediction of dissolved oxygen in River Calder by noise elimination time series using wavelet transform,Masoud Ravansalar and Taher Rajaee and Mustafa Ergil,2016,22,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/0952813x.2018.1518997,Glioma grade classification using wavelet transform-local binary pattern based statistical texture features and geometric measures extracted from MRI,Manu Gupta and Venkateswaran Rajagopalan and B. V. V. S. N. Prabhakar Rao,2019,9,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/0952813x.2019.1653995,Machine learning algorithms for failure prediction and yield improvement during electric resistance welded tube manufacturing,Vinay Sanjay Gujre and Rahul Anand,2020,4,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/0952813x.2020.1718773,A knowledge-driven layered inverse reinforcement learning approach for recognizing human intents,R. Bhattacharyya and S. M. Hazarika,2020,2,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/09528130600758626,A self-watching model of analogy-making and perception,James B. Marshall,2006,9,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/0952813x.2021.1871663,The synchronization and stability analysis of delayed fuzzy Cohen-Grossberg neural networks via nonlinear measure method,Meryem Abdelaziz and Farouk Chérif,2022,1,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/0952813x.2021.1871665,Boosting symbiotic organism search algorithm with ecosystem service for dynamic blood allocation in blood banking system,Prinolan Govender and Absalom E Ezugwu,2022,1,Journal of Experimental &amp; Theoretical Artificial Intelligence
10.1080/0952813x.2020.1735532,A hybrid multiverse optimisation algorithm based on differential evolution and adaptive mutation,Lei Chen and Lvjie Li and Wenyue Kuang,2021,3,Journal of Experimental &amp; Theoretical Artificial Intelligence
