DOI,Título,Autores,Año,Citas,Revista
10.3233/jifs-179314,A study on the intelligent application of the code and the contour of the image feature,Yongfen Wu,2019,0,Journal of Intelligent &amp; Fuzzy Systems
10.3233/jifs-200029,A new way of handling multi-attribute group decision making problems,Aliya Fahmi and Muhammad Aslam and Rehan Ahmed,2020,0,Journal of Intelligent &amp; Fuzzy Systems
10.3233/ifs-152019,Topologies induced by pointwise L-fuzzifying quasi-uniformities,Bin Pang and Yi Zhao,2016,0,Journal of Intelligent &amp; Fuzzy Systems
10.3233/jifs-200363,Wireless body area network mutual trust analysis technique for fault detection using software defined network (SDN),B. Manickavasagam and B. Amutha and M. Revathi and N. Karthick and K. Sree Kumar and K. Priyanka,2021,0,Journal of Intelligent &amp; Fuzzy Systems
10.3233/jifs-211236,Ideal ratio mask estimation using supervised DNN approach for target speech signal enhancement,Poovarasan Selvaraj and E. Chandra,2022,0,Journal of Intelligent &amp; Fuzzy Systems
10.3233/ifs-151646,A short-delay video stabilizer using an adptive fuzzy non-causal filter,Mehdi Rezaei and Mohammad Javad Tanakian,2015,0,Journal of Intelligent &amp; Fuzzy Systems
10.3233/jifs-191534,A fuzzy based multiobjective optimization of multi echelon supply chain network,Prashant K. Jamwal and Shahid Hussain,2020,1,Journal of Intelligent &amp; Fuzzy Systems
10.3233/jifs-219038,Fuzzy logic neural network based growth enterprise market analysis for registration-based IPO system,Ruihang Shen,2021,0,Journal of Intelligent &amp; Fuzzy Systems
10.3233/jifs-201187,LU Decomposition method to solve bipolar fuzzy linear systems,Muhammad Akram and Ghulam Muhammad and Tofigh Allahviranloo and Nawab Hussain,2020,2,Journal of Intelligent &amp; Fuzzy Systems
10.3233/jifs-189628,The association between the use of efavirenz and the occurrence of depressive disorders among HIV-treated patients: An application of Bayesian cox regression,Yi-Horng Lai,2021,0,Journal of Intelligent &amp; Fuzzy Systems
10.3233/jifs-189473,"Witold Pedrycz An Introduction to Computing with Fuzzy Sets: Analysis, Design, and Applications Springer, Cham, Switzerland, 2021",Vladik Kreinovich,2021,0,Journal of Intelligent &amp; Fuzzy Systems
10.3233/jifs-200286,Evaluation of the quality and relevance of a fuzzy partition,Fabian Castiblanco and Camilo Franco and J. Tinguaro Rodríguez and Javier Montero,2020,1,Journal of Intelligent &amp; Fuzzy Systems
10.3233/jifs-182583,Free join- and meet-completions of L-ordered sets,Hai-Wei Wang and Bin Zhao,2019,0,Journal of Intelligent &amp; Fuzzy Systems
10.3233/ifs-141170,"On cyclic (ψ, �)-contractions in Kaleva-Seikkala's type fuzzy metric spaces",Mohamed Jleli and Erdal Karapınar and Bessem Samet,2014,11,Journal of Intelligent &amp; Fuzzy Systems
10.3233/jifs-179667,Design and implementation of intelligent tracking car based on machine vision,Liu Lisang and He Dongwei and Zheng Jishi and Ma Ying and Huang Jing and Fan Junfeng and Wei Xiaoyu and Yao Jinxin,2020,2,Journal of Intelligent &amp; Fuzzy Systems
10.3233/jifs-152634,FTDT: Rough set integrated functional tangent decision tree for finding the status of aqua pond in aquaculture,Suresh Babu Chandanapalli and E. Sreenivasa Reddy and D. Rajya Lakshmi,2017,3,Journal of Intelligent &amp; Fuzzy Systems
10.3233/jifs-179811,Research on spoken English analysis model based on transfer learning and machine learning algorithms,Hui Zhang,2020,4,Journal of Intelligent &amp; Fuzzy Systems
10.3233/jifs-179081,English oral evaluation algorithm based on fuzzy measure and speech recognition,Ling Zhao and Ying Liu and Lijiao Chen and Junchi Zhang and Jonathan G Koomey,2019,5,Journal of Intelligent &amp; Fuzzy Systems
10.3233/ifs-141291,Cross-oriented choquet integrals and their applications on data classification,Rong Yang and Zhenyuan Wang,2015,7,Journal of Intelligent &amp; Fuzzy Systems
10.3233/jifs-16228,A class of fuzzy subgroups of finite reflection groups,B.B. Makamba and V. Murali,2017,2,Journal of Intelligent &amp; Fuzzy Systems
10.3233/jifs-210733,End-to-end dehazing of traffic sign images using reformulated atmospheric scattering model,Runze Song and Zhaohui Liu and Chao Wang,2021,0,Journal of Intelligent &amp; Fuzzy Systems
10.3233/ifs-151730,A sufficient condition on a general class of interval type-2 Takagi-Sugeno fuzzy systems with linear rule consequent as universal approximators,Hao Ying,2015,8,Journal of Intelligent &amp; Fuzzy Systems
10.3233/jifs-169848,Key management and data re-encryption schemes for secure in-vehicle network,Young-Hoon Park,2018,0,Journal of Intelligent &amp; Fuzzy Systems
10.3233/ifs-2012-0558,Similarity of learned helplessness in human being and fuzzy reinforcement learning algorithms,Vali Derhami,2013,3,Journal of Intelligent &amp; Fuzzy Systems
10.3233/jifs-189495,Analysis of the impact of inflation expectations based on machine learning intelligent models,Nan Lin,2021,0,Journal of Intelligent &amp; Fuzzy Systems
10.3233/jifs-200394,Attribute selection approaches for incomplete interval-value data,Zhaowen Li and Shimin Liao and Liangdong Qu and Yan Song,2021,0,Journal of Intelligent &amp; Fuzzy Systems
10.3233/jifs-169285,Research of direction-of-arrival estimation in fewer snapshots based on niche artificial bee colony algorithm,Liu Lei and Diao Ming,2017,1,Journal of Intelligent &amp; Fuzzy Systems
10.3233/jifs-211838,Optimization of RFID reading performance based on YOLOv3 and Elman neural network,Lin Li and Xiaolei Yu and Zhenlu Liu and Zhimin Zhao and Chao Wu and Ke Zhang and Shanhao Zhou,2022,0,Journal of Intelligent &amp; Fuzzy Systems
10.3233/jifs-172267,The tree structure of a closed G-V fuzzy matroid,Yonghong Li and Jiang Li,2019,3,Journal of Intelligent &amp; Fuzzy Systems
10.3233/jifs-161751,An experimental study: An interpretative division method on principal component analysis,Ke Wang and Peidong Zhu and Peng Xun and Bowen Shang,2017,1,Journal of Intelligent &amp; Fuzzy Systems
10.3233/jifs-189809,Application of Big data scientific research analysis platform in clinical medical research,Jing Wang and Jie Wei and Long Li and Lijian Zhang,2021,0,Journal of Intelligent &amp; Fuzzy Systems
10.3233/jifs-219180,On double edge-domination and total domination of trees,Bünyamin Şahin and Abdulgani Şahin,2021,0,Journal of Intelligent &amp; Fuzzy Systems
10.3233/ifs-151618,Special issue: Engineering agents in the ambient,Rubén Fuentes-Fernández and João Balsa,2015,0,Journal of Intelligent &amp; Fuzzy Systems
10.3233/ifs-2012-0518,"FUZZYSS'2011: 2nd International Fuzzy Systems Symposium 17-18 November 2011, Ankara, Turkey",Adil Baykasoglu and Candan Gokceoglu and Turkay Dereli and I. Burhan Turksen,2012,0,Journal of Intelligent &amp; Fuzzy Systems
10.3233/jifs-210060,Characterizations of M-fuzzifying convex spaces via Galois connections,Shao-Yu Zhang,2021,0,Journal of Intelligent &amp; Fuzzy Systems
10.3233/ifs-151874,Temporal normal form for Linear Temporal Logic formulae1,Hui-Xian Shi and Yong-Ming Li,2016,0,Journal of Intelligent &amp; Fuzzy Systems
10.3233/jifs-169587,Attack angle tracking for high speed vehicle based on variable structure and Taylor type FLNN neural network,Chuang Song and Junwei Lei and Huali Wu,2018,0,Journal of Intelligent &amp; Fuzzy Systems
10.3233/jifs-201825,Confident sequence learning: A sequence class-label noise filtering technique to improve scene digit recognition,Haiqing Liu and Daoxing Li and Yuancheng Li,2021,0,Journal of Intelligent &amp; Fuzzy Systems
10.3233/jifs-201301,Research on automobile insurance fraud identification based on fuzzy association rules,Chun Yan and Jiahui Liu and Wei Liu and Xinhong Liu,2021,0,Journal of Intelligent &amp; Fuzzy Systems
10.3233/jifs-191112,Fuzzy weak hyper deductive systems of hyper equality algebras and their measures,Yongwei Yang and Kuanyun Zhu and Xiaolong Xin,2020,1,Journal of Intelligent &amp; Fuzzy Systems
10.3233/ifs-151983,Crop region extraction of remote sensing images based on fuzzy ARTMAP and adaptive boost,Da-Wei Li and Feng-Bao Yang and Xiao-Xia Wang,2015,3,Journal of Intelligent &amp; Fuzzy Systems
10.3233/ifs-151576,Properties of continuous maps and bounded linear operators in fuzzy normed spaces,Abdulgawad A. Q. Al-Qubati and Lemnaouar Zedam,2015,0,Journal of Intelligent &amp; Fuzzy Systems
10.3233/jifs-179315,Intelligent multi-document summarization for biomedical literature by word embeddings and graph-based ranking,Chen Shen and Hongfei Lin and Huihui Hao and Zhihao Yang and Jian Wang and Shaowu Zhang,2019,0,Journal of Intelligent &amp; Fuzzy Systems
10.3233/jifs-201295,Fusion of part-of-speech vectors and attention mechanisms for cross-domain sentiment analysis,Ting Lu and Yan Xiang and Junge Liang and Li Zhang and Mingfang Zhang,2021,0,Journal of Intelligent &amp; Fuzzy Systems
10.3233/ifs-162201,Vehicle detection method based on mean shift clustering,Linhui Li and Haiyang Huang and Bo Qian and Jing Lian and Yafu Zhou,2016,1,Journal of Intelligent &amp; Fuzzy Systems
10.3233/jifs-189952,Application of fingerprint encryption algorithm based on multi-feature extraction,Bing Zheng and Zhenyu Qiu and Jing Yang,2021,0,Journal of Intelligent &amp; Fuzzy Systems
10.3233/jifs-16460,On the fuzzy stability problem of generalized cubic mappings,Heejeong Koh and Dongseung Kang,2017,0,Journal of Intelligent &amp; Fuzzy Systems
10.3233/ifs-2012-0609,On fuzzy real valued generalized difference I-convergent sequence spaces defined by Musielak-Orlicz function,Bipan Hazarika,2013,5,Journal of Intelligent &amp; Fuzzy Systems
10.3233/jifs-169769,Fundamental ideas and mathematical basis of ontology learning algorithm,Linli Zhu and Gang Hua and Sohail Zafar and Yu Pan,2018,5,Journal of Intelligent &amp; Fuzzy Systems
10.3233/jifs-181739,Two computational formulae for similarity measures on intuitionistic fuzzy sets based on intuitionistic fuzzy equivalencies,Xingxing He and Yingfang Li and Limin Du and Keyun Qin,2019,0,Journal of Intelligent &amp; Fuzzy Systems
10.3233/jifs-189342,Long-term pricing strategy based on network externalities,Jianheng Zhou and Rongfei Xu,2021,1,Journal of Intelligent &amp; Fuzzy Systems
10.3233/jifs-202021,An adaptive forecast combination approach based on meta intuitionistic fuzzy functions,Nihat Tak and Erol Egrioglu and Eren Bas and Ufuk Yolcu,2021,2,Journal of Intelligent &amp; Fuzzy Systems
10.3233/jifs-212149,Interaction power Heronian mean aggregation operators for multiple attribute decision making with T-spherical fuzzy information,Haolun Wang and Faming Zhang,2022,2,Journal of Intelligent &amp; Fuzzy Systems
10.3233/jifs-171083,A completely new approach for the theory of Soft Groups and Soft Rings,Gözde Yaylalı and Nazan Çakmak Polat and Bekir Tanay,2019,2,Journal of Intelligent &amp; Fuzzy Systems
10.3233/jifs-17999,Bipolar neutrosophic soft sets and applications in decision making,Mumtaz Ali and Le Hoang Son and Irfan Deli and Nguyen Dang Tien,2017,62,Journal of Intelligent &amp; Fuzzy Systems
10.3233/jifs-171589,A new correlation coefficient of the intuitionistic fuzzy sets and its application,Nguyen Xuan Thao,2018,40,Journal of Intelligent &amp; Fuzzy Systems
10.3233/ifs-151562,Selection of construction project manager by using Delphi and fuzzy linguistic decision making,Ali Reza Afshari,2015,12,Journal of Intelligent &amp; Fuzzy Systems
10.3233/jifs-171979,Quantitative analysis of LIBS spectra using hybrid chemometric models through fusion of extreme learning machines and support vector regression,Taoreed O. Owolabi and Mohammed A. Gondal,2018,12,Journal of Intelligent &amp; Fuzzy Systems
10.3233/ifs-151805,Intuitionistic fuzzy similarity measure: Theory and applications,Ismat Beg and Tabasam Rashid,2016,9,Journal of Intelligent &amp; Fuzzy Systems
10.3233/ifs-151741,Similarity measures of intuitionistic fuzzy sets based on cosine function for the decision making of mechanical design schemes,Jun Ye,2015,53,Journal of Intelligent &amp; Fuzzy Systems
10.3233/jifs-201756,Hybrid and dynamic clustering based data aggregation and routing for wireless sensor networks,Rajesh Kumar Dhanaraj and K. Lalitha and S. Anitha and Supriya Khaitan and Punit Gupta and Mayank Kumar Goyal,2021,11,Journal of Intelligent &amp; Fuzzy Systems
10.3233/jifs-161029,A group consensus decision support model for hesitant 2-tuple fuzzy linguistic preference relations with additive consistency,Yejun Xu and Huimin Wang,2017,14,Journal of Intelligent &amp; Fuzzy Systems
10.3233/jifs-169034,Bandwidth-aware multi round task scheduling algorithm for cloud computing,Tong Zhao and Mei Jing,2016,4,Journal of Intelligent &amp; Fuzzy Systems
10.3233/jifs-179750,Trends in chaos and instability for understanding system complexity,S.P. Nangrani and K.D. Joshi,2020,4,Journal of Intelligent &amp; Fuzzy Systems
10.3233/jifs-169980,A neural network based deep learning approach for efficient segmentation of brain tumor medical image data,A. Veeramuthu and S. Meenakshi and K. Ashok Kumar,2019,23,Journal of Intelligent &amp; Fuzzy Systems
10.3233/jifs-169824,A novel parallel processing mechanism for data transmission in wireless content-centric networking,Rehmat Ullah and Muhammad Khalil Afzal and Byung-Seo Kim,2018,4,Journal of Intelligent &amp; Fuzzy Systems
10.3233/ifs-151659,Mathematical modeling and computational study of the simplest fuzzy two-term controllers via height defuzzification,K.M. Arun Neelimegham and Murali Mohan Bosukonda,2015,7,Journal of Intelligent &amp; Fuzzy Systems
10.3233/jifs-179138,Application and research of automatic password update technology based on the development of wireless network,Ming Zhang,2019,1,Journal of Intelligent &amp; Fuzzy Systems
10.3233/ifs-151532,Formalizing fuzzy object-oriented database models using fuzzy ontologies,Fu Zhang and ZM Ma and Xu Chen,2015,1,Journal of Intelligent &amp; Fuzzy Systems
10.3233/ifs-141369,A hybrid method for solving fuzzy semi-infinite linear programming problems,Alireza Fakharzadeh J. and Somayeh Khosravi,2015,4,Journal of Intelligent &amp; Fuzzy Systems
10.3233/jifs-189584,New PQ theory for power quality improvement using modular multilevel converter based UPFC system,T.M. Thamizh Thentral and R. Jegatheesan and C. Subramani,2021,1,Journal of Intelligent &amp; Fuzzy Systems
10.3233/jifs-179386,An image retrieval method of mammary cancer based on convolutional neural network,Dan Wang and Hongwei Zhao and Qingliang Li,2020,3,Journal of Intelligent &amp; Fuzzy Systems
10.3233/jifs-169293,Multi-sequential MR brain image classification for tumor detection,Tanvi Gupta and Tapan K. Gandhi and B.K. Panigrahi,2017,7,Journal of Intelligent &amp; Fuzzy Systems
10.3233/jifs-219287,Certificate-less authenticated key agreement scheme with anonymity for smart grid communications,Thokozani Felix Vallent and Damien Hanyurwimfura and Hyunsung Kim and Chomora Mikeka,2022,0,Journal of Intelligent &amp; Fuzzy Systems
10.3233/jifs-219283,Deep convolutional neural network for environmental sound classification via dilation,Sanjiban Sekhar Roy and Sanda Florentina Mihalache and Emil Pricop and Nishant Rodrigues,2022,1,Journal of Intelligent &amp; Fuzzy Systems
10.3233/jifs-219308,"Simulation, analysis and characterization of solid microneedles for biomedical applications",Nimra Tariq and Muhammad Waseem Ashraf and Shahzadi Tayyaba,2022,1,Journal of Intelligent &amp; Fuzzy Systems
10.3233/jifs-182899,Fuzzy based optimal and traffic-aware restricted access window mechanism for dense IoT networks,Miriyala Mahesh and V.P. Harigovindan,2019,2,Journal of Intelligent &amp; Fuzzy Systems
10.3233/jifs-189438,Symbol recognition system based on 3D stereo vision,Linlin Wang,2021,1,Journal of Intelligent &amp; Fuzzy Systems
10.3233/jifs-16582,Research on sports grounds’ management performance evaluation with triangular fuzzy information,Li-Cai Zhu and Jin-Long Hou and Lv Wang,2017,1,Journal of Intelligent &amp; Fuzzy Systems
